company_name,name,title,linkedin_url,location,about,estimated_age,extraction_date,experience_1_title,experience_1_company,experience_2_title,experience_2_company,experience_3_title,experience_3_company,education_1_school,education_1_degree,education_2_school,education_2_degree,skill_1,skill_2,skill_3,skill_4,skill_5,media_mentions_count,awards_and_recognitions,speaking_engagements,social_media_followers,thought_leadership_score,overall_sentiment,companies_founded,investment_activities,board_positions,notable_achievements,l_level,reasoning,confidence_score
Rigetti Computing,Stefano Poletto,"Director, Quantum Engineering at Rigetti Computing",https://www.linkedin.com/in/stefano-poletto-392a6966,United States,"I have twenty years of experimental research and path-finding in quantum computing with superconducting qubits, ten years of which in the industrial quantum computing sector covering roles from individual contributor to director of quantum engineering.",40,,Rigetti Computing,Full-time · 7 yrs 7 mos,Postdoctoral researcher,QuTech,Postdoctoral researcher,IBM T.J. Watson research center,Università degli studi Roma TRE,"Doctor of Philosophy (Ph.D.), Physics",Università degli Studi di Padova,Degree in Physics,Quantum Information,Physics,Simulations,Nanotechnology,Materials Science,0,,,0,0.0,neutral,,,,,L3,"Stefano Poletto demonstrates strong technical expertise and senior management experience in quantum computing, fitting the L3 'Technical and Management Veterans' profile. His 20-year career in experimental quantum computing research, including 10 years in industry and progression to Director level at Rigetti Computing, shows significant technical depth and management experience. While highly accomplished in his field, there's no evidence of startup founding experience or exits that would qualify for higher levels. His profile aligns well with the L3 criteria of technical veterans with PhD credentials and senior roles in high-growth companies.",0.68
Rigetti Computing,Subodh Kulkarni,Member Board of Directors at KeyTronic Corp,https://www.linkedin.com/in/subodh-kulkarni-21001611,"St Paul, Minnesota, United States",Lead technology development organization enabling business growth,62,,President and CEO,Rigetti Computing · Full-time,Member Board of Directors,KeyTronic Corp (NASDAQ: KTCC),Chairman of the Board,Prism Computational Sciences,Massachusetts Institute of Technology,"M.S. and Ph.D., Chemical Engineering","Indian Institute of Technology, Bombay","Bachelor of Technology (B.Tech.), Chemical Engineering",,,,,,2,"Most Impactful Innovation Prize, World's Top 50 Innovators 2024",Speaker at Nvidia GTC 2025 AI conference; Speaker at CodexTalks London 2024,0,7.0,positive,,,,"Led AI & Automation at Zensar Technologies; CEO of Cygnet Digital; President and CEO of Rigetti Computing; President, CEO, and Board member of CyberOptics Corporation; Chief Technology Officer and Senior Vice President at Imation Corporation; Nearly 20 years at Infosys as Head of Manufacturing for Europe",L4,"Subodh Kulkarni demonstrates significant executive leadership experience, particularly as President and CEO of Rigetti Computing, a notable quantum computing company. His PhD from MIT in Chemical Engineering and board position at KeyTronic Corp indicate proven operational and technical expertise. While there's evidence of high-level executive experience, there isn't clear documentation of major exits or unicorn-level company building that would qualify for higher levels. His profile aligns with L4 'Proven Operators with Executive Experience' based on his C-suite roles and technical background.",0.60
Pendo,Erik Troan,CTO / Founder at Pendo.io,https://www.linkedin.com/in/eriktroan,Raleigh-Durham-Chapel Hill Area,"Founding CTO at Pendo, where I built a team of 250 people in development, security, devops, SRE, and agile practices.

First engineer at Red Hat who built and led the engineering team through the IPO. Later led product marketing at Red Hat before founding rPath, a venture backed company which created the virtual appliance concept and developed automation technology around virtual machine deployment and management.",54,,Limited Partner,GTMfund,Board of Visitors,North Carolina State University · Freelance,Member Board of Trustees,North Carolina School of Science and Mathematics · Freelance,NCSSM,,North Carolina State University,"MS, Computer Science, Computer Engineering",Open Source,Open Source Development,Licensing,Cloud Computing,Software Packaging,2,,,,2.0,neutral,,,,"Co-author of Red Hat Package Manager (RPM); Founder and CTO of Pendo.io, a successful product experience platform; Founder of rPath, a company sold to SAS in 2012; Led engineering at Red Hat through its IPO",L7,"Erik Troan demonstrates an exceptional track record with multiple significant achievements that qualify him as an Elite Serial Entrepreneur. He was the first engineer at Red Hat and helped build the engineering team through their successful IPO, which was a major tech industry milestone. He then founded rPath, a venture-backed company that pioneered virtual appliance technology, and is now CTO/Founder at Pendo, which has achieved unicorn status with a valuation over $2.6B. His pattern of building and scaling multiple successful technology companies, including participation in a major IPO and founding multiple venture-backed companies, clearly places him in the L7 category.",0.68
Pendo,Rahul Jain,Chief Product Officer/Co-founder -- Pendo,https://www.linkedin.com/in/rahuljain4,"Washington, District of Columbia, United States",,47,,Chief Product Officer/Founder,Pendo.io,Cisco Systems,3 yrs 4 mos,Vice President,Core Capital Partners,Georgia Institute of Technology,Electrical Engineering,University of Maryland - Robert H. Smith School of Business,MBA,Go-to-market Strategy,Product Management,Cloud Computing,SaaS,Product Marketing,4,,,65,6.0,neutral,,,,"Pioneer who introduced Business Coaching to India 21 years ago; Coached over 22,000 business owners to improve business operations and profits",L5,"Rahul Jain co-founded Pendo, which has achieved significant scale and funding milestones. Pendo has raised over $400M in funding, reached unicorn status with a $2.6B valuation as of 2021, and has grown to serve thousands of customers globally. As CPO and co-founder, he has demonstrated ability to scale a major enterprise software company. The company's growth trajectory and funding success places him solidly in the L5 (Growth-Stage Entrepreneur) category, though not yet L6 as there isn't evidence of multiple successful ventures or a major exit yet.",0.68
Dataiku,Clément Stenac,"Co-founder & CTO at Dataiku | We're hiring - Enterprise AI, ML, Spark, Kubernetes",https://fr.linkedin.com/in/clementstenac,Greater Paris Metropolitan Region,"I am a passionate software engineer, CTO and co-founder at Dataiku where I oversee the design and development of software that’s making the use of data and AI everyday behavior for everyone. 

I was previously head of product development at Exalead, leading the design and implementation of web-scale search engine software.

I have experience running a development team, designing and developing robust software and handling a product and its lifecycle (releases, quality, ...).

I also had the pleasure to contribute to open source software, as a former developer of the VideoLAN (VLC) and Debian projects and a former contributor to OpenStreetMap.",46,,Co-founder & CTO,Dataiku,EXALEAD,6 yrs 5 mos,Developer,VideoLAN,CentraleSupélec,"Master, IT",Lycéee Jean-Baptiste Say,"Baccalauréat S, Science",Distributed Systems,Software Development,Open Source,Scalability,C++,3,,,0,7.0,positive,,,,Co-founder and Chief Technology Officer of Dataiku since 2013; Led the development of Dataiku into a Universal AI Platform; Introduced innovations like the LLM Mesh for generative AI applications; Recognized as a leading voice in AI and data science platforms,L5,"Clément Stenac qualifies as a Growth-Stage Entrepreneur (L5) based on his role as co-founder and CTO of Dataiku, which has achieved significant scale and funding. Dataiku has become a major player in the enterprise AI space, reaching unicorn status with a valuation over $3.7B in 2021. While he hasn't had multiple exits yet (which would qualify him for L6+), his successful scaling of Dataiku combined with his prior senior technical role at Exalead and significant open-source contributions demonstrate proven ability to build and scale complex technical products. His background combines deep technical expertise with proven business execution at scale.",0.68
Dataiku,Florian Douetteau,Co-founder and CEO at Dataiku,https://uk.linkedin.com/in/fdouetteau,United Kingdom,,44,,CEO at Dataiku,Dataiku,,,,,Ecole normale supérieure,,,,Dataiku Data Science Studio,Scalability,Artificial Intelligence,Growth Strategies,Enterprise Software,5,,"Data Driven NYC appearances (2016, 2018, 2021); Interview on Data Cloud Now special report (2025); Featured interview on The Software Report (2024); YouTube episode on scaling AI in enterprises (2024)",,8.0,positive,,,,Co-founded and led Dataiku to support over 500 companies worldwide; Democratized AI and data for enterprise use; Raised over $846 million in funding for Dataiku,L6,"Florian Douetteau has demonstrated significant market innovation and leadership as co-founder and CEO of Dataiku, which has achieved unicorn status and major funding rounds. The company has grown to become a global leader in Enterprise AI platforms, valued at over $3.7B in 2021. Under his leadership, Dataiku has raised multiple large funding rounds, including a $400M Series E, and has scaled to serve hundreds of enterprise customers globally. His background from École normale supérieure (one of France's most prestigious institutions) and his successful scaling of Dataiku from founding to unicorn status places him firmly in the Market Innovator category.",0.68
Dataiku,Marc Batty,Co-founder and Chairman at Fermes En ViE (FEVE) & Activist BA,https://fr.linkedin.com/in/marcbatty/en,"Toulouse, Occitanie, France","I studied agriculture & biology and started my career as a R&D Engineer in the fish farming industry. I then worked in IT Services for several years and co-founded a software vendor (Dataiku) in 2012. 
I'm now entering the 3rd phase of my career, going back to my roots and origins, with the ambition of dedicating my energy to serving the agro-ecological transition.",47,,Fermes En ViE,4 yrs 10 mos,Membre fondateur,Climate House,Partner,50 Partners Impact,AgroParisTech,"Agronomy Engineer, Animal Sciences, Fish Farming",,,Philanthropie,Mentoring,Entreprenariat,Product Management,Marketing,4,,,0,7.0,positive,,,,,L7,"Marc Batty co-founded Dataiku in 2012, which has become a major success story in the AI/ML space. Dataiku achieved unicorn status with a $4.6B valuation in 2021 and has raised over $600M in funding. His current venture, Fermes En ViE, represents a successful transition to a new sector, demonstrating serial entrepreneurship capabilities. The combination of building a unicorn company and successfully launching a second venture places him in the elite serial entrepreneur category.",0.68
Databricks,Ali Ghodsi,"CEO & Co-Founder at Databricks, Adjunct Professor at UC Berkeley",https://www.linkedin.com/in/alighodsi,"San Francisco, California, United States",,46,,Databricks,12 yrs 1 mo,UC Berkeley,16 yrs 2 mos,Royal Institute of Technology,5 yrs,KTH Royal Institute of Technology,"PhD, Computer Science",Mid Sweden University,"M.B.A, Logistics and Strategic Marketing",Distributed Systems,Algorithms,Big Data,Product Management,Machine Learning,5,KTH Royal Institute of Technology's Young Researcher of the Year Award (2008); ACM SIGMOD Best Paper Award (2012); USENIX Award,Keynote at 2025 Data + AI Summit; Multiple industry conferences and academic talks,,9.0,positive,,,,"Co-founded Databricks, a leading data and AI company; Serves as CEO of Databricks; Has been recognized for leadership in AI and data innovation",L8,"Ali Ghodsi has demonstrated exceptional success as CEO of Databricks, building it into one of the most valuable private companies globally. Under his leadership, Databricks has reached a valuation over $43B (as of 2023), making it one of the most valuable private AI companies. His technical expertise as a PhD in Computer Science combined with his role in developing Apache Spark at UC Berkeley, and then successfully commercializing it through Databricks, shows both technical innovation and business execution at the highest level. The company's growth, massive funding rounds, and sustained market leadership in the data/AI space qualify him for L8 classification as a proven unicorn builder.",0.76
Databricks,Andy Konwinski,"Co-founder of Laude, Databricks, and Perplexity",https://www.linkedin.com/in/andykon,"Berkeley, California, United States","Andy Konwinski is a co-founder of Databricks, Perplexity, and Laude. His work spans research and real-world impact in artificial intelligence, data, and software infrastructure. At Databricks he most recently ran AI Product and he continues to serve as President of Perplexity. He got his PhD in Computer Science from UC Berkeley, where he contributed to Apache Hadoop and co-created Apache Mesos and Apache Spark. He co-teaches the PhD seminar on “Research to Startups” at Berkeley.",38,,"Co-founder, GP",Laude Ventures,Co-founder,Laude Institute,Co-founder,Perplexity AI,"University of California, Berkeley","Doctor of Philosophy (PhD), Computer Science",University of Wisconsin-Madison,"Bachelor of Science (B.S.), Computer Science",Computer Science,Research,Hadoop,Analysis,Modeling,5,NSDI Test of Time award 2021 for Mesos; Eurosys Best Student Paper 2013 and Test of Time award 2023 for Omega cluster scheduler,,,8.0,positive,,,,"Co-founder of Databricks, Perplexity, and Laude Ventures; VP Product AI/ML at Databricks; Created the Data+AI Summit; Co-authored the O'Reilly Learning Spark book; Built Professional Services & Training orgs at Databricks; Co-founder and President of Perplexity; Offered $1 million prize to solve AI coding problems to encourage innovation in AI",L7,"Andy Konwinski demonstrates elite serial entrepreneur status through co-founding multiple highly successful companies, particularly Databricks (valued at $43B+) and Perplexity (rapidly growing AI company with significant funding). His technical credentials are exceptional, having co-created Apache Spark and Mesos, which became foundational technologies. The combination of creating multiple billion-dollar impact companies, deep technical expertise (PhD from Berkeley), and continued success with new ventures (Perplexity, Laude) places him solidly in the L7 category of Elite Serial Entrepreneurs.",0.68
Databricks,Arsalan Tavakoli,SVP of Field Engineering,https://www.linkedin.com/in/arsalantavakoli,"Berkeley, California, United States",,42,,SVP of Field Engineering,Databricks,Associate Partner,McKinsey & Company,Research Intern,Microsoft,"University of California, Berkeley","PhD, Computer Science",University of Virginia,"B.S., Computer Science & Economics",,,,,,5,,Fireside Chat at Data + AI Summit 2025; Keynote speaker at Data + AI Summit 2025; Interview on NextGenLakehouse YouTube channel; Speaker at BigDataNYC 2015 #theCUBE,,8.0,positive,,,,"Co-founder of Databricks, a major big data software company",L4,"Arsalan Tavakoli demonstrates proven operational leadership at a major successful technology company (Databricks) in a senior executive role (SVP of Field Engineering). His PhD in Computer Science from UC Berkeley and progression to SVP level at a company valued at over $40B shows significant technical and management capabilities. While we don't have complete career history, his current position at Databricks, which has achieved unicorn status and is one of the most valuable private companies globally, indicates he meets the L4 criteria of 'Proven Operators with Executive Experience' at a notable tech company (>1000 employees).",0.60
