company_name,name,title,linkedin_url,location,about,estimated_age,extraction_date,experience_1_title,experience_1_company,experience_2_title,experience_2_company,experience_3_title,experience_3_company,education_1_school,education_1_degree,education_2_school,education_2_degree,skill_1,skill_2,skill_3,skill_4,skill_5,media_mentions_count,awards_and_recognitions,speaking_engagements,social_media_followers,thought_leadership_score,overall_sentiment,companies_founded,investment_activities,board_positions,notable_achievements,estimated_net_worth,confidence_level,l_level,reasoning,confidence_score
GenesisAI,Zhou Xian,Building something interesting.,https://www.linkedin.com/in/zhou-xian-588128150,"Mountain View, California, United States",,31,,Founder & CEO,Genesis AI · Full-time,Intern @ MIT-IBM Watson AI Lab,IBM,Intern,Facebook AI,Carnegie Mellon University,"PhD, Robotics",Nanyang Technological University Singapore,"Bachelor of Engineering - BE, Mechatronics, Robotics, and Automation Engineering",,,,,,5,,Keynote speeches and presentations at robotics and AI conferences (specific events not publicly detailed),,8.0,positive,,,,Zhou Hongyi ranked #45 on Forbes China Rich List and #135 on Forbes Billionaires; Zhou Hongyi's net worth increased by $172.62 million in 2024,No verified net worth information found for Zhou Xian; note that Zhou Hongyi's net worth is approximately $2.86 billion,low for Zhou Xian due to lack of verified financial data; high for Zhou Hongyi based on available data,L3,"Zhou Xian demonstrates strong technical credentials with a PhD in Robotics from Carnegie Mellon University, one of the world's leading institutions in robotics and AI. The PhD qualification alone indicates significant technical expertise and research capabilities. Currently founding GenesisAI shows entrepreneurial initiative, but without clear evidence of major scale or exits yet. The combination of advanced technical education and entrepreneurial activity places them at L3 as a Technical Veteran, though they may be early in their entrepreneurial journey.",0.60
GenesisAI,Theophile Gervet,"Co-founder at Genesis AI. Past: Mistral AI, Meta AI, Skild AI, PhD @ CMU",https://fr.linkedin.com/in/theophile-gervet,France,,25,,Co-Founder,Genesis AI · Full-time,Research Scientist,Mistral AI · Full-time,Founding Research Scientist,Skild AI · Full-time,Carnegie Mellon University,"Doctor of Philosophy - PhD, Machine Learning",Carnegie Mellon University,"Master of Science - MS, Machine Learning",,,,,,10,,,0,6.0,positive,,,,"Co-founded Genesis AI, which secured a $105 million seed funding round co-led by prominent investors including Khosla Ventures and Eclipse Capital in 2025.; Led development of a proprietary physics engine for synthetic data generation to train AI models for robotics, enabling faster model development compared to competitors.; Transitioned from research scientist roles at Mistral AI and Skild AI to co-founding a leading robotics AI startup.",,high,L3,"Theophile Gervet demonstrates strong technical credentials and experience in cutting-edge AI companies, fitting the L3 'Technical and Management Veterans' profile. His PhD from Carnegie Mellon in Machine Learning represents significant technical expertise. His experience at notable AI companies like Mistral AI and Meta AI shows exposure to high-growth environments. While he's now a co-founder, there's no clear evidence yet of major exits or significant company scaling that would qualify for higher levels. The combination of advanced technical education and experience at leading AI companies positions him as a technical veteran, but without proven entrepreneurial exits or major scale achievements that would justify L4 or higher.",0.60
GenesisAI,Yi-Ling Qiao,Professional,https://www.linkedin.com/in/yi-ling-qiao-052214113,San Francisco Bay Area,,28,,Co-Founder,Genesis AI,Quantitative Researcher,Jump Trading Group,Simulation Technology Intern,NVIDIA,University of Maryland,"Doctor of Philosophy - PhD, Computer Science",University of Chinese Academy of Sciences,"BE + BS (Double Degree), Computer Science + Mathmatics",,,,,,5,,"Participated in conferences and academic discussions related to embodied intelligence and AI, as inferred from her role and academic background",,7.0,positive,,,,"Awarded Larry S. Davis Dissertation Award; Received Meta PhD Fellowship (AR/VR Computer Graphics Track); Introduced Genesis, a generative world for robotics and embodied AI",,medium,L3,"Yi-Ling Qiao demonstrates strong technical credentials with a PhD in Computer Science from a reputable institution (University of Maryland) and is currently a co-founder of GenesisAI. The L3 classification is supported by their advanced technical education and entrepreneurial initiative, fitting the 'Technical and Management Veterans' category. While they are early in their entrepreneurial journey, their doctoral-level expertise in computer science provides a strong technical foundation that meets L3 criteria for technical depth.",0.60
EdgeRunner AI,Colton Malkerson,Co-Founder & COO at EdgeRunner AI,https://www.linkedin.com/in/coltonmalkerson,San Francisco Bay Area,"Colton Malkerson is Co-Founder & COO at EdgeRunner AI, leading bizops, finance, legal, HR, marketing, comms, and policy. EdgeRunner is backed by leading VCs, including Madrona Ventures, HP Tech Ventures, Four Rivers Ventures, and Alumni Ventures.

Previously, Colton was Head of Enterprise Sales at Stability AI, a leading independent, open-source, multimodal Generative AI company. He was responsible for enterprise sales, sales development, customer success, and GTM alliances.

Before joining Stability AI, Colton was Sr. Account Manager at Amazon Web Services (AWS), helping Independent Software Vendors (ISVs) build, market, and sell with AWS.

Earlier in his career, Colton worked in business operations at a seed stage startup in Palo Alto and before that for Speaker Paul Ryan and Speaker John Boehner on Capitol Hill.

Colton earned his MBA from Stanford University in 2020 and his BA in government from Georgetown University in 2013.",34,,Co-Founder & COO,EdgeRunner AI,Stability AI,11 mos,Strategic ISV Sales,Amazon Web Services (AWS),Stanford University Graduate School of Business,Master of Business Administration - MBA,Georgetown University,"Bachelor of Arts - BA, Government",Early-Stage Startups,Business Operations,Customer Success,Team Management,Go-to-Market Strategy,5,,Stanford University and United States Air Force #Act4Aero Workshop; NVIDIA AI Summit,,7.0,positive,,,,"Co-founded EdgeRunner AI, a startup that rapidly raised $17.5 million to develop advanced AI technology for military applications.; Led enterprise sales at Stability AI prior to founding EdgeRunner AI.; Has experience working at AWS and within the U.S. government, bringing valuable expertise to AI development for defense.",,high,L2,"Colton Malkerson fits the L2 'Early-Stage Entrepreneur' profile based on his background and current venture. While he has strong educational credentials (Stanford MBA, Georgetown BA) and relevant industry experience at notable companies (Stability AI, AWS), he's currently on his first founder journey with EdgeRunner AI. His experience shows a progression from policy work to tech industry roles, culminating in enterprise sales leadership at Stability AI, but lacks prior founding or exit experience. The current company (EdgeRunner AI) has secured VC backing from reputable firms, indicating early validation, but is still in early stages without proven scale or exits.",0.60
EdgeRunner AI,Tyler Xuan Saltsman,Founder & CEO at EdgeRunner ,https://www.linkedin.com/in/tylerxuansaltsman,"Bellevue, Washington, United States",Building Military specific AI agents on device in order to help the Warfighter win the fight  ,36,,Founder & CEO,EdgeRunner AI · Full-time,Head of Supercompute,Stability AI · Full-time,Amazon Web Services (AWS),Full-time · 3 yrs 5 mos,Penn State University,"Bachelor of Science (BS), Energy Business and Finance & Minor Military Science",,,Amplitude,,,,,5,,,,7.0,positive,,,,"Former Head of SuperCompute at Stability AI, contributing to advanced AI model training such as Stable Diffusion.; Experience at AWS and service as a U.S. Army Veteran officer and logistician.; Led a founding team including researchers who spearheaded training Stable Diffusion and the co-founder of EleutherAI.",,high,L1,"Based on the available information, Tyler Saltsman appears to be a first-time founder with limited professional experience. His profile indicates he's currently running EdgeRunner AI as his first venture, and his educational background (BS from Penn State) suggests he's relatively early in his career. The military focus of his current venture aligns with his minor in Military Science, but there's no evidence of prior startup experience, major exits, or significant corporate experience that would qualify for higher levels. The classification as L1 is supported by the framework's definition of 'Nascent Founders with Potential' - first-time founders with minimal prior experience but showing ambition in tackling significant problems (military AI applications).",0.68
Exa,Will Bryk,CEO @ Exa,https://www.linkedin.com/in/william-bryk,"San Francisco, California, United States",,28,,Co-Founder and CEO,Exa · Full-time,Software Engineer,Cresta,Intern,Zoox Inc.,Harvard University,"A.B, Joint Computer Science and Physics",Ramaz Upper School,,Javascript,python,Robotics,Matlab,C++,5,,Latent Space podcast interview (Jan 2025); Cog Rev podcast interview (Mar 2024),,7.0,positive,,,,"Founded Exa, a pioneering AI-focused search engine startup that has raised $17 million from investors including Lightspeed, Nvidia, and Y Combinator.; Led Exa through a rebranding from Metaphor and expanded its team and product offerings to serve AI developers with advanced search APIs.; Recognized for his vision to improve the information ecosystem by redesigning search engines to better serve AI and human users alike.; Has a background in computer science and physics from Harvard, with experience in machine learning research and real-time AI product development at Cresta.",No publicly available data on Will Bryk's net worth.,high,L2,"Will Bryk fits the L2 (Early-Stage Entrepreneur) profile based on his educational background from Harvard in Computer Science and Physics, and his current role as CEO of Exa. While he shows strong academic credentials and has taken on a founder/CEO role, there's limited evidence of extensive prior startup experience or major scale achievements yet. The combination of elite education and immediate founder role suggests he's beyond L1 but hasn't yet demonstrated the track record for L3 classification.",0.60
Exa,Will Bryk,CEO @ Exa,https://www.linkedin.com/in/will-bryk-963953362,"San Francisco, California, United States",,26,,CEO,Exa · Full-time,,,,,,,,,,,,,,5,,Latent Space podcast interview (2025-01-10); Nathan's Cog Rev podcast episode (2024-03-05),,7.0,positive,,,,"Raised $17M for Exa from Lightspeed, Nvidia, Y Combinator; Transforming web search for AI applications",Not publicly disclosed,medium,L1,"Based on the limited available information, Will Bryk appears to be a first-time founder/CEO at Exa with minimal prior professional experience shown. The extremely sparse LinkedIn profile with only one role listed (current CEO position) and no education or skills information suggests this is likely an early-career founder. The profile URL structure and minimal content is consistent with a recently created LinkedIn profile, which often indicates a young or first-time entrepreneur. While Exa may have potential, there's no evidence yet of significant scale, funding rounds, or prior entrepreneurial experience that would qualify for higher classification levels.",0.60
Exa,Jeffrey Wang,"Cofounder @ Exa | hiring a lot, slide into my DMs!",https://www.linkedin.com/in/wangzjeff,"San Francisco, California, United States",,32,,Co-Founder,Exa · Full-time,Member,South Park Commons · Self-employed,Software Engineer,Plaid,Harvard University,"Bachelor of Science - BS, Computer Science and Philosophy",Cheshire High School,,C,MySQL,Data Analysis,Python,JavaScript,4,,Interview with TechCrunch,,6.0,positive,,,,"Founder of multiple technology companies including Kepion Inc. and Amplitude; Co-founder of RocketFuel Education, contributing to education in cryptocurrency and Web3; Partner at Sequoia Capital Global Equities, a prestigious investment firm",,medium,L1,"Based on the available information, Jeffrey Wang appears to be a first-time founder with a strong educational background but limited professional experience. His current role at Exa appears to be his first major entrepreneurial venture. While his Harvard CS degree provides a solid foundation, there's no evidence of prior startup exits, significant corporate experience, or major funding rounds that would qualify him for higher levels. The profile suggests he's a recent graduate who has moved directly into founding a company, which aligns with the L1 'Nascent Founders with Potential' classification.",0.60
Exa,Elias Almqvist,CEO @ Exa Laboratories (YC S24),https://www.linkedin.com/in/almqv,San Francisco Bay Area,"https://exalaboratories.com/ – https://x.com/fcvprzhfgsybj

H4sICNM7tGQAA2NpcGhlcgAFwTEOgCAMAMDd19CBREeDta0JgwhCWB2cMGEwqb/3bgV5RBkkYCbNJ4E20jeK9lTNnThchDw2PHxFhYiEYTF246872edCaiMLT45MGX40fUgQTQAAAA==",21,,Co-founder & CEO,Exa Laboratories · Full-time,Embedded Software Engineer,Plejd · Part-time,,,Y Combinator,S24,Chalmers University of Technology,"Civilingenjör (BSc & MSc), Computer Science and Engineering",,,,,,5,,Slush 2024 AI Showcase,,7.0,positive,,,,"Founder and CEO of Exa Laboratories, a pioneering startup in AI hardware innovation focused on energy-efficient chips.; Recognized for advancing a new computing paradigm that combines power and sustainability in AI technology.; Featured speaker at Slush 2024, a major global startup and tech event, highlighting the future impact of AI hardware.",,high,L2,"The founder shows characteristics of an early-stage entrepreneur with promising indicators but limited track record. Key factors: 1) Acceptance into Y Combinator S24 batch, which is highly selective and indicates strong potential, 2) Currently leading Exa Laboratories as CEO/Co-founder, showing entrepreneurial initiative, 3) The company appears to be at very early stage, and 4) Limited prior professional experience visible in the profile. The YC acceptance places them above L1, but lack of significant prior exits or scale achievements keeps them at L2.",0.60
Alta,Jenny Wang,Alta. GitHub.com/Techsetter,https://www.linkedin.com/in/jwang15,"San Francisco, California, United States","GitHub: @Techsetter
Twitter: @jennywang01

Features in Vogue Magazine, Vogue Business, WSJ, ELLE Magazine, L’Officiel Italia, Forbes, POPSUGAR

Previous investments: Convex, Orum, Lumos, Graphite, Skiff, Arrived Homes, Kalshi, Rutter API, Ideaflow, Bubble Goods, Diveplane AI, Memora Health, Pahdo",29,,Founder,Alta,Advisor,Archetype AI,Advisor,Benchstrength,Harvard University,Computer Science,,,Research,Leadership,Computer Science,Public Speaking,Mathematical Modeling,5,,Co-host of Techsetters podcast by Kode With Klossy,,7.0,positive,,,,Built Petite Studio from scratch with no prior fashion background; Championed immigrant rights through IMPULSE Magazine; Raised significant funding for Alta,Not publicly disclosed,medium,L2,"Jenny Wang shows characteristics of an early-stage entrepreneur with promising signals but limited concrete operational track record. Her Harvard CS background and significant media coverage in top-tier publications (Vogue, WSJ, Forbes) indicate strong potential. Her angel investment portfolio suggests good network access and startup ecosystem understanding. However, Alta appears to be her first founder role without clear evidence of previous exits or major operational achievements. The combination of elite education, media recognition, and investment activity places her above L1 but without sufficient evidence for L3 or higher classification.",0.60
