company_name,name,title,linkedin_url,location,about,estimated_age,extraction_date,experience_1_title,experience_1_company,experience_2_title,experience_2_company,experience_3_title,experience_3_company,education_1_school,education_1_degree,education_2_school,education_2_degree,skill_1,skill_2,skill_3,skill_4,skill_5,media_mentions_count,awards_and_recognitions,speaking_engagements,social_media_followers,thought_leadership_score,overall_sentiment,companies_founded,investment_activities,board_positions,notable_achievements,estimated_net_worth,confidence_level,l_level,reasoning,confidence_score
Adept AI,Ashish Vaswani,Co-founder and CEO at Essential AI,https://www.linkedin.com/in/ashish-vaswani-99892181,"San Francisco, California, United States",,39,,Co-Founder and CEO,Essential AI · Full-time,Co-Founder and Chief Scientist,Adept AI Labs · Full-time,Staff Research Scientist,Google Brain,University of Southern California,"Doctor of Philosophy (Ph.D.), Computer Science",University of Southern California,"Master's degree, Computer Science",Natural Language Processing,Machine Learning,Algorithms,Pattern Recognition,LaTeX,5,,,0,9.0,positive,,,,"Co-authored the landmark paper 'Attention Is All You Need' introducing the Transformer neural network; Pioneering contributions in deep learning and natural language processing; Transformer model foundational for GPT, BERT, ChatGPT, and successors",Unknown,high,L6,"Ashish Vaswani qualifies as a Market Innovator and Thought Leader (L6) primarily due to his groundbreaking contributions to the field of AI through the Transformer architecture, which has become foundational to modern AI. He's not just a technical contributor but has demonstrated innovation that has created new markets and capabilities in the AI industry. His current role as co-founder of Adept AI, which has raised significant funding, combined with his fundamental research contributions that transformed the field of AI, places him solidly at L6. While he could potentially be rated higher, without clear exit data or multiple company successes, L6 is the most appropriate conservative classification.",0.68
Adept AI,David Luan,let's make agents useful!,https://www.linkedin.com/in/jluan,"San Francisco, California, United States",,43,,"VP, Autonomy Team; Head of AGI SF Lab",Amazon · Full-time,"Founding Team, CEO",Adept AI Labs · Full-time,Impact Advisory Committee,Apollo Global Management Inc.,Yale University,"Bachelor of Science (B.S.), Applied Mathematics and Political Science",Worcester State University,"Certificate, Computer Science",,,,,,5,,,0,8.0,positive,,,,"Co-founder and CEO of Adept AI Labs, a company valued above $1 billion; Raised over $400 million in funding for Adept AI from investors including Greylock, Andrej Karpathy, Nvidia, ServiceNow, and WorkDay; Former Vice President of Engineering at OpenAI, overseeing research that shipped GPT, CLIP, and DALL-E; Led large model efforts at Google Brain; Co-founded Dextro, a computer vision startup",Millions,high,L6,"David Luan demonstrates significant market innovation and thought leadership in AI, particularly through his current role as CEO/founder of Adept AI (raised $350M Series B at $1B+ valuation) and his previous leadership roles. He has shown consistent ability to build and lead cutting-edge AI teams at major tech companies and startups. His trajectory from Yale to OpenAI to Google/DeepMind to Amazon AGI lab to founding Adept shows increasing responsibility and impact in the AI field. The significant funding raised by Adept ($415M total) and its rapid growth indicate strong market validation.",0.68
Adept AI,Kelsey Szot,AGI @ Amazon | Co-founder @ Adept,https://www.linkedin.com/in/kelseyschroeder,"San Francisco, California, United States",,30,,"Product, AGI",Amazon,Cofounder & President,Adept AI Labs,"Product, Google ML",Google · Full-time,Stanford University,"Master of Science (M.S.), Management Science and Engineering",Stanford University,"Bachelor of Science (B.S.), Mathematical and Computational Science",,,,,,5,,,0,7.0,positive,,,,"Co-founded Adept AI, a machine learning research and product lab focused on building general intelligence through human-computer collaboration; Helped raise $415 million in funding for Adept AI, including a $350 million Series B round valuing the company at approximately $1 billion; Former McKinsey and Google employee with experience in large-scale model production infrastructure",Unknown,high,L2,"Kelsey Szot shows promising early-stage founder characteristics with elite educational credentials and experience at major tech companies. As a co-founder of Adept AI and having worked on AGI at Amazon, she demonstrates technical expertise and ambition in cutting-edge AI. However, this appears to be her first founder role, and while Adept AI is promising, there isn't yet evidence of major exits or scale achievements that would qualify for higher levels. Her Stanford MS in Management Science and Engineering provides strong technical and management foundations typical of L2 founders.",0.56
Vicarious,Dileep George,AGI Research @DeepMind.  Ex co-founder & CTO  of Vicarious AI (acquired by Alphabet). Twitter @dileeplearning,https://www.linkedin.com/in/dileep-george,"Menlo Park, California, United States",,46,,Research,DeepMind,Co-Founder,Vicarious AI (acquired by Alphabet),Co-founder and Chief Technology Officer,Numenta,Stanford University,"PhD, Electrical Engineering",Stanford University,"Masters , Electrical Engineering",,,,,,4,,,0,7.0,positive,,,,Co-developed the theory of Hierarchical Temporal Memory; Pioneered hierarchical temporal memory; Co-founded two AI companies focused on neuroscience-inspired AI and robotics; Vicarious was acquired by Alphabet to accelerate robotics and AGI efforts; Research Scientist at Google DeepMind,Unknown,high,L6,"Dileep George demonstrates significant technical innovation and thought leadership in AI, with multiple notable achievements. As co-founder and CTO of Vicarious AI (acquired by Alphabet/Google), he helped build a significant AI company that achieved a successful exit. His PhD from Stanford in Electrical Engineering, combined with his current position at DeepMind (one of the world's leading AI research organizations) and his previous entrepreneurial success places him firmly in the Market Innovators and Thought Leaders category. His work has contributed to fundamental advances in artificial intelligence, particularly in recursive cortical networks and brain-inspired AI architectures.",0.68
Vicarious,D. Scott Phoenix,"Ex founder + CEO of Vicarious AI (raised $250M, acq by Alphabet). Partner at @fiftyyears investing in hard tech. Twitter: @fuelfive",https://www.linkedin.com/in/dscottphoenix,"Berkeley, California, United States","Partner at Fifty Years, investing in deep tech founders at the earliest stages. More about me: https://dscottphoenix.com

Previously, I was cofounder and CEO of Vicarious, an AGI and robotics startup backed by ~$250M from Dustin Moskovitz, Mark Zuckerberg, Elon Musk, Jeff Bezos, Founders Fund, Khosla Ventures, DCVC, 8VC, and many others. At Vicarious, I worked with my cofounder Dileep George and our talented team to build one of the first successful AI + robotics companies, as well as publish peer-reviewed research in Science, NeurIPS, ICML, and more. 

Vicarious was acquired by Alphabet in 2022. After the acquisition, I spent a year as the Chief Product & Revenue Officer of Intrinsic, Alphabet’s “other bet” focused on robotics and AI.

Before Vicarious, I was an entrepreneur in residence at Founders Fund, started a company in the Y Combinator 2008 batch, and built an open source game. I also invest in hard tech startups like Sila Nano, Psi Quantum, Verge Genomics, and Science, and advise venture funds like Felicis Ventures, Base10, and 8VC.",41,,Partner,Fifty Years · Full-time,Chief Product & Revenue Officer,Intrinsic · Full-time,Cofounder and CEO,Vicarious AI · Full-time,Y Combinator,,University of Pennsylvania,"BAS, Individualized Computer Science, Business, and Design",Entrepreneurship,Ruby,Python,Start-ups,Venture Capital,2,World Economic Forum Technology Pioneer (2015),KV Summit 2018: AI & AGI Current Implications & Future Trends; Hey Sue Podcast: Building Human-Level AI,0,7.0,positive,,,,"Co-founded Vicarious, an influential AI and robotics startup that raised approximately $250 million from high-profile investors; Led Vicarious through its acquisition by Alphabet in 2022; Served as Chief Product and Revenue Officer for Intrinsic, an Alphabet subsidiary; Published peer-reviewed research in Science, ICML, and NeurIPS; Authored multiple patents; Advocate for safe AI development and signatory on the Future of Life Institute's Open Letter on Artificial Intelligence and the Asilomar AI Principles",Unknown,high,L7,"D. Scott Phoenix demonstrates a clear pattern of elite entrepreneurship with multiple significant achievements. His primary success is Vicarious AI, which he co-founded and led as CEO, raising $250M from top-tier investors and achieving an exit to Alphabet. The scale of funding, caliber of investors (Musk, Bezos, Zuckerberg), and successful exit to a major tech company places him well above typical founders. Additionally, his prior YC company, subsequent role at Intrinsic (Alphabet), and current position as a partner at Fifty Years investing in hard tech shows a consistent pattern of operating at the highest levels of tech entrepreneurship. The scientific impact of Vicarious (publications in Science, NeurIPS, ICML) and the technical complexity of their achievements in AI and robotics further supports this classification.",0.68
Vicarious,JM Yujuico,"Founder & CEO at Vicarious, Inc.",https://www.linkedin.com/in/jm-yujuico-04021111b,San Francisco Bay Area,,47,,Founder & CEO,"Vicarious, Inc.",,,,,Occidental College,"Bachelor’s Degree, Business/Managerial Economics",,,Leadership,Research,Public Speaking,Social Media,Virtual Reality,3,,,0,4.0,neutral,,,,"Founder & CEO of Vicarious, Inc.; Recognized as a 3-time founder who built large scale companies from the ground up in varying industries",Unknown,medium,L1,"Based on the limited available information, this appears to be a first-time founder with minimal documented professional experience prior to founding Vicarious. The profile shows only their current role as Founder & CEO at Vicarious, Inc., with an educational background from Occidental College in Business/Managerial Economics. Without evidence of prior startup experience, major exits, or significant professional achievements, they best fit the L1 classification of a nascent founder with potential.",0.52
CogniAIm,Mahesh Sharma,CEO at FargoWiz,https://www.linkedin.com/in/maheshbusiness,Greater Philadelphia,"• Experienced leader with real world experience in formulating and executing business & technical strategies 
• Experienced in business development, sales, revenue generation, opportunity identification, lead generation, creating incremental pipeline, owning and closing deals 
• Engaging with line of business  (LOB) leaders, technology leaders, directors and C-level executives to understand needs and drive business
• Experienced in leading and delivering large scale enterprise initiatives, programs and projects for Fortune 500 customers. Knowledge and experience in several Industry Verticals (Automotive, Finance, Banking, Retail, Energy, Utility, Healthcare, Insurance, Travel, Communication).
• Extensive experience in driving the life cycle of technology adoption, implementation and roll-out for the organizations. Deep expertise and experience in Technical Leadership, Management, Solution Architecture, Methodology & Standards, Planning & Estimation, Delivery & Project Management, Resource Hiring & Management, Building Cross-Functional and Multi-Location teams (multi-site, onshore/offshore)
• Speaker/Presenter, Mentoring, Coaching, and building practices and teams to embrace new technology stack, products and opportunities, involving re-engineering of business processes, operations, enterprise systems and applications.",52,,CEO and Chief Architect,FARGOWIZ LTD COMPANY,Founder & CEO,CogniAIm Inc,IBM,16 yrs 1 mo,North Dakota State University,"MS, Computer Science",University of Rajasthan,"BE, Engineering",Solution Architecture,Enterprise Architecture,IT Strategy,Cloud Computing,Enterprise Software,0,,,0,0.0,neutral,,,,"Member of Parliament representing Gautam Buddha Nagar, Uttar Pradesh; Richest candidate in Gautam Buddha Nagar with assets totaling approximately Rs 83.8 Crore",Rs 83.8 Crore,high,L3,"Based on the available information, Mahesh Sharma appears to be a technical and management veteran with significant enterprise experience, fitting the L3 classification. His profile indicates extensive technical leadership and management experience across multiple industries, with particular emphasis on enterprise-scale projects. However, there's no clear evidence of exits, major funding rounds, or startup success that would qualify for higher levels. The classification is primarily based on his technical and management background rather than entrepreneurial track record.",0.52
Continual,Tristan Zajonc,Cofounder & CEO at Continual,https://www.linkedin.com/in/tristanzajonc,"San Francisco, California, United States","I'm currently working on Continual (https://continual.ai), an AI agent platform built for business.  I previously cofounded Sense, a next-generation data science and machine learning platform that was acquired by Cloudera in 2016.  At Cloudera, I spent 3 years leading the ML engineering team and building software for ML and data science at scale.  In my earlier life, I spent 10 years in the trenches of applied data science as an economist and consultant with USAID, the World Bank, the Entrepreneurial Finance Lab, the Institute for Quantitative Social Science at Harvard, and Harvard's Center for International Development.  PhD in from Harvard University and proud Sagehen (Pomona College).",39,,Cofounder & CEO,Continual,Cloudera,3 yrs 4 mos,Cofounder and CEO,"Sense, Inc.",Harvard University,"PhD, Public Policy",Harvard Kennedy School,"MPA/ID, Public Administration and International Development",Econometrics,Economics,Research,Public Policy,Program Evaluation,5,,,0,7.0,positive,,,,"Founded Sense, an early data science tooling startup sold to Cloudera",Unknown,medium,L4,"Tristan Zajonc demonstrates a strong track record as a proven operator with a successful exit and significant technical/executive experience. His company Sense was acquired by Cloudera in 2016, and he subsequently held a leadership position at Cloudera leading their ML engineering team. His academic credentials (Harvard PhD) and extensive experience in data science and ML, combined with a successful exit and executive experience at a major tech company (Cloudera), clearly place him at L4. While he's currently building his second significant venture (Continual), without clear evidence of scale or funding levels for this new venture, we cannot yet classify him at L5 or higher.",0.68
Continual,Tyler Kohn,Cofounder & CTO at Continual,https://www.linkedin.com/in/tylerkohn,San Francisco Bay Area,"I'm a technologist and an entrepreneur who has excelled at building technology, systems, teams, and companies.  I enjoy solving problems, building things, and developing cultures around experimentation and learning.  I’ve lived/worked across the globe and learned first hand how diverse groups of people communicate, build culture, work together, and solve problems.  I like to get my hands dirty building things related to large scale systems and ML/AI that address real world challenges. ",49,,Co-Founder & CTO,Continual · Full-time,Director of Software Engineering,Ghost Locomotion,Head of Platform Technology,"Mythic, Inc.",Stanford University,"MS, Electrical Engineering",Boston University,"BS, Computer Systems Engineering",Scalability,SaaS,Databases,Software Engineering,Linux,4,,,0,6.0,positive,,,,,Unknown,low,INSUFFICIENT_DATA,"While the founder has impressive educational credentials from Stanford (MS in Electrical Engineering) and is currently a CTO/Co-founder of Continual, there is extremely limited information available about their career progression, previous roles, achievements, or company outcomes. The current company (Continual) lacks context about its scale, funding, or market impact. Without more detailed work history, evidence of exits, or information about company performance metrics, it's not possible to make a confident classification.",0.32
Credo AI,Madhav Sarda,Working as Senior Engineer R & D with Advik Hi-tech,https://in.linkedin.com/in/madhav-sarda-7b18421b4,"Chakan, Maharashtra, India","I am a good team leader, have a good set of communication skills. I am the President of the Departmental Student organization, have worked as head of the departmental newsletter. ",30,,Senior Research And Development Engineer,Advik Hi-Tech Pvt Ltd · Full-time,Production Officer,BKT Tires · Full-time,GET,Samhati Forge I Pvt Ltd,Babasaheb Ambedkar University Aurangabad,"Bachelor of Technology - BTech, Mechanical Engineering",,,2D CAD Drawing,Creo Parametric,Engineering,Project Management,English,0,,,0,0.0,neutral,,,,,Unknown,low,L1,"Based on the available information, this appears to be a nascent founder/professional early in their career. The profile shows limited professional experience with one role as a Senior R&D Engineer at Advik Hi-Tech, and their education background suggests they are relatively recent graduate. While they show leadership potential through university roles (student organization president, newsletter head), they lack significant industry experience or entrepreneurial track record that would qualify for higher levels.",0.68
